titre_initiative,resume_initiative,tag_besoin_niv1_code,tag_besoin_niv2_code,tag_produit_niv1_code,tag_produit_niv2_code,tag_structure_niv1_code,nom_structure,url_initiative,contact_mail,contact_tel,materiel_utilise,machine_utilisee,capacite_production,version,adresse,code_postal,ville,url_illustration,commentaires,source,est_actif,langue,auteur_data,validation,notes_validation,a_publier,date_maj
#COVID entraide info France,-,HELP,,GROUPE,,-,,https://www.facebook.com/groups/208192820288100/,,,-,-,-,-,NA,NA,NA,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_7.png?raw=true,-,,oui,fr,JPy,NR,,OUI,24/03/2020
#COVID entraide France,-,HELP,,GROUPE,,-,,tg://join?invite=Kd5EWxK0U1v0qbOffsqp0w,,,-,-,-,-,NA,NA,NA,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_7.png?raw=true,-,,oui,fr,JPy,NR,,OUI,24/03/2020
#COVID-ENTRAIDE,-,HELP,,GROUPE,,-,,tg://join?invite=Kd5EW0kFszT96K7Q32Ohag,,,-,-,-,-,NA,NA,NA,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_7.png?raw=true,-,,oui,fr,JPy,NR,,OUI,24/03/2020
@corona live (France),-,HELP,,GROUPE,,-,,https://webtelegram.us/#/im?p=@coronalive,,,-,-,-,-,NA,NA,NA,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_7.png?raw=true,-,,oui,fr,JPy,NR,,OUI,24/03/2020
Logal Groupe Resources (UK),-,HELP,,GROUPE,,-,,https://covidmutualaid.org/resources,,,-,-,-,-,NA,NA,NA,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_7.png?raw=true,-,,oui,fr,JPy,NR,,OUI,24/03/2020
Makers For Life,-,SANTE/INFOS/DATA,,GROUPE/DIY,VENTILATOR,,,https://docs.google.com/document/d/1l1nt0o93kdfcmPygp1k6NYKrwIb_uN01kcBAfovy2dE/edit?fbclid=IwAR0LmtnUynp4_Uq5kUe_WrKGlWRdEAzeet-IBAe0M8VS9OYCDUDQY8lxi2k,,,-,-,-,-,NA,NA,NA,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_1.png?raw=true,-,,oui,fr,CG,NR,,OUI,25/03/2021
Groups inventory (USA) - COVID-19 Mutual Aid - ,,HELP,,LISTE/GROUPE,-,-,,https://itsgoingdown.org/c19-mutual-aid/,,,-,-,-,-,NA,NA,NA,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_7.png?raw=true,-,,oui,en,CG,NR,,-,25/03/2022
Groups inventory  (Germany) -  COVID-19 local solidarity,,HELP,,LISTE/GROUPE,-,-,,https://listling.org/lists/pwfjfkpjmesjjinm/solidarische-nachbarschaftshilfe,,,-,-,-,-,NA,NA,NA,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_7.png?raw=true,,,oui,de,CG,NR,,-,25/03/2023
(Columbia) Mutual Aid,,HELP,,GROUPE/LISTE,-,,,https://actua.frenalacurva.net/,,,-,-,-,-,NA,NA,NA,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_7.png?raw=true,,,oui,es,CG,NR,,-,25/03/2024
(China) Wuhan 2020 Open source community,,HELP/INFOS/DATA,,GROUPE/LISTE,-,,,https://github.com/wuhan2020/wuhan2020/blob/master/README_EN.md,,,-,-,-,-,NA,NA,NA,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_1.png?raw=true,,,oui,ch/en,CG,NR,,-,25/03/2025
Guide création gel hydro,-,SANTE,HYGIENE,DIY,GEL,NR,,https://pad.degrowth.net/pCCyDqYpTQqfoj2LabCevA#,-,-,-,-,-,-,NA,NA,NA,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_10.png?raw=true,,,,fr,JPy,NR,,OUI,24/03/2020
Breezy - the crisis emergency ventilator,-,SANTE,HOPITAL,DIY,RESPIRATEUR,NR,,https://app.jogl.io/project/151,-,-,-,-,-,-,NA,NA,NA,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_10.png?raw=true,,,,fr,JPy,NR,,OUI,24/03/2020
-,-,SANTE,HOPITAL,DIY,POUSSE_SERINGUE,NR,,,-,-,-,-,-,-,NA,NA,NA,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_10.png?raw=true,,,,fr,JPy,NR,,OUI,24/03/2020
COVID-19 Medical Face Shield,-,SANTE,PROTECTION,DIY,VISIERE,INSTITUTION,UNIVERSITY of WISCONSIN–MADISON Makerspace,https://making.engr.wisc.edu/shield/,-,-,-,-,-,-,NA,NA,NA,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_10.png?raw=true,,,,fr,JPy,PARTIELLE,Il y a des personnels de santé dans l'équipe. ce n'est pas hyper clair si leur modèle est utilisé dans les hopitaux ou s'ils pointent celui dont ils s'inspirent. Ils cherchent des acteurs capable de produire en série.,OUI,24/03/2020
Low-cost & Open-Source Covid19 Detection kits,-,SANTE,HOPITAL,DIY,TESTKIT,ANONYME,,https://app.jogl.io/project/118,-,-,-,-,-,-,NA,NA,NA,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_10.png?raw=true,,,,fr,JPy,NR,,OUI,24/03/2020
Formule de l'OMS,-,SANTE,HYGIENE,DIY/PRO,GEL,ANONYME,,https://cdn.discordapp.com/attachments/689052206552580136/689112626361532591/guide_production_locale_produit_hydro_alcoolique.pdf,-,-,-,-,-,-,NA,NA,NA,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_10.png?raw=true,Gel Hydroalcoolique,,,fr,JPy,NR,,OUI,24/03/2020
Autres formule,-,SANTE,HYGIENE,DIY,,ANONYME,,https://www.femmeactuelle.fr/sante/sante-pratique/gel-hydroalcoolique-la-recette-pour-fabriquer-son-propre-desinfectant-pour-les-mains-2092084?fbclid=IwAR12LJF9yp88oF7hAzAPhsrZTzDE2Eq_oLIXNnQYGsTl-FDkN25DDq0V1B4,-,-,-,-,-,-,NA,NA,NA,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_10.png?raw=true,,,,fr,JPy,NR,,OUI,24/03/2020
Boitier PCR low-cost,-,SANTE,HOPITAL,DIY,TEST,ANONYME,,,-,-,-,-,-,-,NA,NA,NA,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_10.png?raw=true,Test / détection,,,fr,JPy,NR,,OUI,24/03/2020
Patron masque tissu réalisé par le CHU Grenoble,-,SANTE,HOPITAL,DIY/PRO,MASQUE_TISSU,ANONYME,,https://cdn.discordapp.com/attachments/689052155310506005/689112495134081063/faites_vos_masques_a_la_maison.pdf,-,-,-,-,-,-,NA,NA,NA,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_10.png?raw=true,Masque,,,fr,JPy,PARTIELLE,?,OUI,24/03/2020
Masque de protection facial au projection faite avec une feuille A4 transparente,-,SANTE,PROTECTION,DIY,PROTECTION,ANONYME,,https://www.thingiverse.com/thing:4147460,-,-,-,-,-,-,NA,NA,NA,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_10.png?raw=true,Protection,,,fr,JPy,NR,,OUI,24/03/2020
kit pour faire un masque en papier absorbant,-,SANTE,PROTECTION,DIY,MASQUE,ANONYME,,https://www.thingiverse.com/thing:4218338,-,-,-,-,-,-,NA,NA,NA,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_10.png?raw=true,Masque en sopalin MAIS avec accessoires,,,en/es/it,JPy,NR,sur le groupe : https://docs.google.com/spreadsheets/d/1e81ceSrVT6Bl4UaS1SxIUUUzgZAdkIstU7Hzot08Ld8/edit#gid=0,OUI,24/03/2020
boitier Hepa customisable,-,SANTE,HOPITAL,DIY,PROTECTION,ANONYME,,https://www.thingiverse.com/thing:4196325,-,-,-,-,-,-,NA,NA,NA,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_10.png?raw=true,Protection,,,fr,JPy,NR,,OUI,24/03/2020
Boitier PCR low-cost,-,SANTE,HOPITAL,DIY,TEST,ANONYME,,,-,-,-,-,-,-,NA,NA,NA,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_10.png?raw=true,Test / détection,,,fr,JPy,NR,,OUI,24/03/2020
Papier toilette ré-utilisable,-,SANTE,HYGIENE,DIY,HYGIENE,ANONYME,,https://www.thingiverse.com/thing:4217621,-,-,-,-,-,-,NA,NA,NA,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_10.png?raw=true,Hygiéne,,,fr,JPy,NR,,OUI,24/03/2020
Masque de protection avec 2 filtres,-,SANTE,HOPITAL,DIY,MASQUE,ANONYME,,https://www.thingiverse.com/thing:4217534,-,-,-,-,-,-,NA,NA,NA,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_10.png?raw=true,Masque,,,fr,JPy,NR,,OUI,24/03/2020
HEPA Masque de protection,-,SANTE,HOPITAL,DIY,MASQUE,ANONYME,,https://www.thingiverse.com/thing:4222563,-,-,-,-,-,-,NA,NA,NA,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_10.png?raw=true,Masque,,,fr,JPy,NON,"NOTE : sur  https://pad.degrowth.net/bP1B0Lj_SHmiPIAYGkw7Hg  il est indiqué que : Ne pas utiliser ce modele  le pas de vis est en mirroir et est donc dans le mauvais sens. Impossible de viser le bouchon.
J’ai patcher la version (RootBSD). Lien : https://cdn.discordapp.com/attachments/689052155310506005/690272244387283438/Fixed_Version_V3.7z",OUI,24/03/2020
Savegrabber - permet d'ouvrir des portes  appyer des boutons,-,SANTE,PROTECTION,DIY,PROTECTION/PORTE,ANONYME,,https://www.thingiverse.com/thing:4192643,-,-,-,-,-,-,NA,NA,NA,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_10.png?raw=true,Protection,,,fr,JPy,NR,,OUI,24/03/2020
Masque jetable à base de filtre à café,-,SANTE,HOPITAL,DIY,MASQUE,ANONYME,,https://www.thingiverse.com/thing:4199749,-,-,-,-,-,-,NA,NA,NA,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_10.png?raw=true,Masque,,,fr,JPy,NR,,OUI,24/03/2020
Lunettes fabriquées à partir de bouteille,-,SANTE,PROTECTION,DIY,LUNETTES,ANONYME,,https://www.instructables.com/id/Soda-Bottle-Safety-Goggles./,-,-,-,-,-,-,NA,NA,NA,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_10.png?raw=true,Protection,,,fr,JPy,NR,,OUI,24/03/2020
3D Printed Face Mask Buckle,-,SANTE,PROTECTION,DIY,MASQUE,,Creality,https://www.thingiverse.com/thing:4187448/files,-,-,-,-,-,-,NA,NA,NA,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_10.png?raw=true,Accessoire masque,,,en,CG,NR,,OUI,25/03/2020
Protective Face Shield,-,SANTE,PROTECTION,DIY,VISIERE,,FabLab UBL,https://gitlab.com/fablab-ulb/projects/Covid-19/-/blob/master/FablabULB-Protective-Face-Shield/files/RC1/anti_projection.stl,-,-,-,-,-,-,NA,NA,NA,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_10.png?raw=true,Visière,,,en,CG,PARTIELLE,"Il est écrit que c'est ""Validés par les médecins hygiénistes et la direction de l’hôpital CHU Saint-Pierre à Bruxelles."" ici https://docs.google.com/document/d/1yDyYDmnSss1Gs43ypK19DpQxmCVWys-UQN4oXZqrhRo/edit?fbclid=IwAR2xFoVac-FHBHoiqAalSj1bvDw5c1raAnC9Jv3NKjNwkS-9h7n0mOXnric",OUI,25/03/2020
PROTOTYPE DE RESPISATEUR - OxyGEN ,-,SANTE,HOPITAL,DIY,RESPIRATEUR,,Protofy.xyz,https://www.oxygen.protofy.xyz/,-,-,-,-,-,-,NA,NA,NA,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_10.png?raw=true,Respirateur,,,en,CG,NR,,OUI,25/03/2020
EMERGENCY VENTILATOR SYSTEMS ,-,SANTE,HOPITAL,DIY,VENTILATOR/RESPIRATEUR,,ebcore,https://www.ebcore.io/?fbclid=IwAR13Fql14xM0Xty3w5cSyfWXLUfD-ML3ri8gdej-J8O8oY0X2Fq7uDSmx4o,-,-,-,-,-,-,NA,NA,NA,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_10.png?raw=true,Ventilator / vidéo d'explication : https://www.youtube.com/watch?v=vcuFVMVx930&feature=youtu.be&fbclid=IwAR2nwsROxwZNmnizLkoiEUNauFhFGBigEXsw7AGZajNFVEgvHYdOpXleTQk,,,en,CG,NR,,OUI,25/03/2020
OpenLung BVM Ventilator,-,SANTE,HOPITAL,DIY/GROUPE,VENTILATOR/RESPIRATEUR,,,https://gitlab.com/open-source-ventilator/OpenLung?fbclid=IwAR1cMnUQW_t-wksl8RsbsHRplAWurPFVD63eZi71qJ65h7G1-F9p5HA-grU,-,-,-,-,-,-,NA,NA,NA,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_10.png?raw=true,Ventilator / vidéo d'explication : https://www.youtube.com/watch?v=vcuFVMVx930&feature=youtu.be&fbclid=IwAR2nwsROxwZNmnizLkoiEUNauFhFGBigEXsw7AGZajNFVEgvHYdOpXleTQk,,,en,CG,NR,,OUI,25/03/2020
InnspiraMED Open Source Mechanical Ventilators,-,SANTE,HOPITAL,DIY,VENTILATOR/RESPIRATEUR,,,https://letsbeatcovid19.blogspot.com/,-,-,-,-,-,-,NA,NA,NA,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_10.png?raw=true,,,,en,CG,NR,,OUI,25/03/2020
Visières pour les soignants,-,SANTE,PROTECTION,DIY,VISIERE,INSTITUTION,Centrale Supelec,http://lafabrique.centralesupelec.fr/visiere/,-,-,-,-,-,-,NA,NA,NA,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_10.png?raw=true,Visières,,,fr,CG,NR,Processus en cours le 25/03/2020,OUI,25/03/2020
Simply Flexible Mask Valvy,-,SANTE,PROTECTION,DIY,MASQUE,INDIVIDU,ANON,https://www.thingiverse.com/thing:4185367?fbclid=IwAR0r9Qd7JXxdsZBqOWiO45P9EO6G3LG5N-q8uoqiJa22LbZpd1gNrzwJ_6E,-,-,-,-,-,-,NA,NA,NA,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_10.png?raw=true,,,,en,CG,NR,,OUI,25/03/2020
face mask,-,SANTE,PROTECTION,DIY,MASQUE,-,Cetus3D.,https://www.dropbox.com/s/ndal4gh8ufhmowi/face%20mask.zip?dl=0&fbclid=IwAR09ZAGiTbHyFirlyB_rBANkP19P2C7w6Tr0Ljk08La8sJs2pR8NmY7h_Q8,-,-,-,-,-,-,NA,NA,NA,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_10.png?raw=true,masque : en lien avec la boucle en dessous ,,,en,CG,NR,,OUI,25/03/2020
Mask buckle,-,SANTE,PROTECTION,DIY,MASQUE/ACCESSOIRE,-,Cetus3D.,https://www.dropbox.com/s/cqcvuqf3vk510a3/Mask%20buckle.zip?dl=0&fbclid=IwAR2QguGLA7xJreqDOmBLEVH-88H-zhf-NIycpraaxEW_9rCkAEI4W12NONc,-,-,-,-,-,-,NA,NA,NA,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_10.png?raw=true,accessoire masque : en lien avec le masque au dessus ,,,en,CG,NR,,OUI,25/03/2020
EVA Covid Coronavirus Face Mask,-,SANTE,PROTECTION,DIY,MASQUE,ANONYME,,https://www.thingiverse.com/thing:4223817?fbclid=IwAR2W7DFx-nmwaS_1QY3a6Ey0fz6boiVNsGeS7vJ3ZFg_0Lb_4zhG4hitGfc,-,-,-,-,-,-,NA,NA,NA,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_10.png?raw=true,,,,en,CG,NR,,OUI,25/03/2020
COVID-19 MASK (Easy-to-print  no support  filter required),-,SANTE,PROTECTION,DIY,MASQUE,ANONYME,,https://www.thingiverse.com/thing:4225667?fbclid=IwAR3D_VHzPU5ehzRom5Mwvy0KP0NgBiVQvrWcZcghbgjlkSRc78Jm6uh6MZk,-,-,-,-,-,-,NA,NA,NA,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_10.png?raw=true,Mask,,,en,CG,NR,sur le groupe : https://docs.google.com/spreadsheets/d/1e81ceSrVT6Bl4UaS1SxIUUUzgZAdkIstU7Hzot08Ld8/edit#gid=0,OUI,25/03/2020
NanoHack  una máscara impresa en 3D de código abierto contra el Covid-19,-,SANTE,PROTECTION,DIY,MASQUE,ENTREPRISE,3Dnatives,https://www.3dnatives.com/es/nanohack-mascara-codigo-abierto-contra-covid-19-180320202/,-,-,-,-,-,-,NA,NA,NA,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_10.png?raw=true,Mask,,,es,CG,NR,,OUI,25/03/2020
MINI-MASQUE POUR CORONAVIRUS COVID-19 AVEC FIL,-,SANTE,PROTECTION,DIY,MASQUE,,,https://cults3d.com/fr/mod%C3%A8le-3d/outil/mini-mascara-para-coronavirus-covid-19-con-rosca,-,-,-,-,-,-,NA,NA,NA,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_10.png?raw=true,Mask,,,fr,CG,NR,,OUI,25/03/2020
NANOHACK,-,SANTE,PROTECTION,DIY,MASQUE,-,Copper3D,https://copper3d.com/hackthepandemic/,-,-,-,-,-,-,NA,NA,NA,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_10.png?raw=true,Mask : Ils indiquent clairement qu'une v2 va bientôt dortir et recommandent de ne plus imprimer la V1. Je ne sais pas si elle sera sur la même page web,,,en,CG,NR,sur le groupe : https://docs.google.com/spreadsheets/d/1e81ceSrVT6Bl4UaS1SxIUUUzgZAdkIstU7Hzot08Ld8/edit#gid=0,OUI,25/03/2020
MASQUE DE PROTECTION COVID-19 FFP2 / PROTECTION MASK COVID-19 FFP2,-,SANTE,PROTECTION,DIY,MASQUE,,,https://cults3d.com/fr/mod%C3%A8le-3d/outil/masque-de-protection-covid-19-ffp2,-,-,-,-,-,-,NA,NA,NA,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_10.png?raw=true,mask FFP2,,,en/fr,CG,NR,,OUI,25/03/2020
Dossier IFTH 16 Mars 2020 : Masques de protection simplifiés pour gouttelettes d’eau,-,SANTE,PROTECTION,DIY,MASQUE_TISSU,INSTITUTION,Institut français du textile et de l'habillement,https://www.csfmodeluxe-masques.com/uploads/1/2/9/1/129160673/masques_de_protection_simplifie%CC%81_1.pdf,-,-,-,-,-,-,NA,NA,NA,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_10.png?raw=true,masques de trois niveaux,,,fr,CG,PARTIELLE,?,OUI,25/03/2020
MODE OPÉRATOIRE Masque respiratoire,-,SANTE,PROTECTION,DIY,MASQUE_TISSU,,Les tissages de Charlieu,file:///C:/Users/garni/OneDrive/Documents/Corona/Mode-operatoire%20-%20discord%20de%20maker%20entraide.pdf,-,-,-,-,-,-,NA,NA,NA,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_10.png?raw=true,ATTENTION : Je ne sais pas vraiment si c'est un doc interne à l'entreprise ou un qui a vocation à circuler. j'ai été conduite à tomber dessus mais c'est pe pas normal. Lien du site associé : https://ltc-jacquard.com/accueil/les-tissages-de-charlieu-masques-de-confinement/,,,fr,CG,NR,,OUI,25/03/2020
facemask sewing pattern,-,SANTE,PROTECTION,DIY,MASQUE_TISSU,ANONYME,,https://freesewing.org/blog/facemask-frenzy/,-,-,-,-,-,-,NA,NA,NA,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_10.png?raw=true,masque tissu ,,,en,CG,NR,sur le groupe : https://docs.google.com/spreadsheets/d/1e81ceSrVT6Bl4UaS1SxIUUUzgZAdkIstU7Hzot08Ld8/edit#gid=0,OUI,25/03/2020
