titre_initiative,resume_initiative,tag_besoin_niv1_code,tag_besoin_niv2_code,tag_produit_niv1_code,tag_produit_niv2_code,tag_structure_niv1_code,nom_structure,url_initiative,contact_mail,contact_tel,materiel_utilise,machine_utilisee,capacite_production,version,adresse,code_postal,ville,pays,url_illustration,commentaires,source,est_actif,langue,auteur_data,validation,notes_validation,a_publier,date_maj
Gare Numérique,,DIY,PROTECTION,DIY/FABLAB,,ENTREPRISE,,,,,,,,,,84200,Carpentras,France,,,https://docs.google.com/spreadsheets/d/1AuFOZjWxkcBIKoZVbi31pURp7h0B0VY9O9Rmct-_KU4/edit?usp=sharing,,,JPy,,,OUI,30/03/2020
Deltalab,,DIY,PROTECTION,DIY/FABLAB,,ENTREPRISE,,https://deltalabprototype.fr/,Bernard Grossat,=+33 9 53 95 08 50 / +33 7 69 84 39 58,,,,,Maison Milon Le Vialle  2 place Émile Colongin,84600,Grillon,France,,Bernard Grossat,https://docs.google.com/spreadsheets/d/1AuFOZjWxkcBIKoZVbi31pURp7h0B0VY9O9Rmct-_KU4/edit?usp=sharing,,,JPy,,,OUI,30/03/2020
La Fruitière Numérique,,DIY,PROTECTION,DIY/FABLAB,,ENTREPRISE,,,,09 67 46 07 40,,,,,,84160,Lourmarin,France,,,https://docs.google.com/spreadsheets/d/1AuFOZjWxkcBIKoZVbi31pURp7h0B0VY9O9Rmct-_KU4/edit?usp=sharing,,,JPy,,,OUI,30/03/2020
La Bricotèque,,DIY,PROTECTION,DIY/FABLAB,,ENTREPRISE,,https://fablab-pernes.fr/,Olivier et Aurore,Pas de fixe,,,,,492 Cours Frizet  84210 Pernes-les-Fontaines,84210,Pernes les fontaines ,France,,Olivier et Aurore,https://docs.google.com/spreadsheets/d/1AuFOZjWxkcBIKoZVbi31pURp7h0B0VY9O9Rmct-_KU4/edit?usp=sharing,,,JPy,,,OUI,30/03/2020
Ping,,DIY,PROTECTION,DIY/FABLAB,,ENTREPRISE,,https://www.pingbase.net/,,02 40 16 86 78,,,,,Pôle associatif du Breil  38 rue du Breil,44000,Nantes,France,,,https://docs.google.com/spreadsheets/d/1AuFOZjWxkcBIKoZVbi31pURp7h0B0VY9O9Rmct-_KU4/edit?usp=sharing,,,JPy,,,OUI,30/03/2020
Ar Vilin Don,,DIY,PROTECTION,DIY/FABLAB,,ENTREPRISE,,,,,,,,,,44170,Marsac-sur-don,France,,,https://docs.google.com/spreadsheets/d/1AuFOZjWxkcBIKoZVbi31pURp7h0B0VY9O9Rmct-_KU4/edit?usp=sharing,,,JPy,,,OUI,30/03/2020
cowork Notre-Dame,,DIY,PROTECTION,DIY/FABLAB,,ENTREPRISE,,http://www.coworking-france.com/espace-coworking/cowork-notre-dame/,,07 83 13 90 63,,,,,92 Rue des Colibris,44430,Le Loroux-Bottereau,France,,,https://docs.google.com/spreadsheets/d/1AuFOZjWxkcBIKoZVbi31pURp7h0B0VY9O9Rmct-_KU4/edit?usp=sharing,,,JPy,,,OUI,30/03/2020
Sciences & Bidouilles,,DIY,PROTECTION,DIY/FABLAB,,ENTREPRISE,,,,,,,,,28 rue de la picotiere,49100,Angers,France,,,https://docs.google.com/spreadsheets/d/1AuFOZjWxkcBIKoZVbi31pURp7h0B0VY9O9Rmct-_KU4/edit?usp=sharing,,,JPy,,,OUI,30/03/2020
Le Boc@l - Bricole Locale,,DIY,PROTECTION,DIY/FABLAB,,ENTREPRISE,,https://bocal.csc49.fr/,Yvan Godereau,0241305055,,,,,5 Rue de la Gabardière  Chemillé-en-Anjou ,49120,Chemillé-en-Anjou,France,,Yvan Godereau,https://docs.google.com/spreadsheets/d/1AuFOZjWxkcBIKoZVbi31pURp7h0B0VY9O9Rmct-_KU4/edit?usp=sharing,,,JPy,,,OUI,30/03/2020
eMode,,DIY,PROTECTION,DIY/FABLAB,,ENTREPRISE,,,,,,,,,20 rue du Carteron,49300,Cholet,France,,,https://docs.google.com/spreadsheets/d/1AuFOZjWxkcBIKoZVbi31pURp7h0B0VY9O9Rmct-_KU4/edit?usp=sharing,,,JPy,,,OUI,30/03/2020
Les Amis du Ludylab,,DIY,PROTECTION,DIY/FABLAB,,ENTREPRISE,,https://www.ludylab.fr/,,02 51 63 94 90,,,,,2 rue du Bocage - Chambretaud,85500,Chanverrie,France,,,https://docs.google.com/spreadsheets/d/1AuFOZjWxkcBIKoZVbi31pURp7h0B0VY9O9Rmct-_KU4/edit?usp=sharing,,,JPy,,,OUI,30/03/2020
