titre_initiative,resume_initiative,tag_besoin_niv1_code,tag_besoin_niv2_code,tag_produit_niv1_code,tag_produit_niv2_code,tag_structure_niv1_code,nom_structure,url_initiative,contact_mail,contact_tel,materiel_utilise,machine_utilisee,capacite_production,version,adresse,code_postal,ville,pays,url_illustration,commentaires,source,est_actif,langue,auteur_data,validation,notes_validation,a_publier,date_maj
Visière - Fablab ULB - CHU Saint-Pierre,-,SANTE,PROTECTION,DIY,VISIERE,INSTITUTION,FabLab UBL,https://gitlab.com/fablab-ulb/projects/coronavirus/protective-face-shields,-,-,-,-,-,-,NA,NA,NA,NA,https://gitlab.com/fablab-ulb/projects/coronavirus/protective-face-shields/-/raw/master/docs/images/2Masks.png,Visière,,,en,CG,UTILISE_DANS_STRUCT_MEDICALE_ETR,"Il est écrit que c'est ""Validés par les médecins hygiénistes et la direction de l’hôpital CHU Saint-Pierre à Bruxelles."" ici https://docs.google.com/document/d/1yDyYDmnSss1Gs43ypK19DpQxmCVWys-UQN4oXZqrhRo/edit?fbclid=IwAR2xFoVac-FHBHoiqAalSj1bvDw5c1raAnC9Jv3NKjNwkS-9h7n0mOXnric",OUI,
PROTOTYPE DE RESPIRATEUR - OxyGEN ,-,SANTE,HOPITAL,DIY,RESPIRATEUR_VENTILATOR,GROUPE/ENTREPRISE,Protofy.xyz,https://www.oxygen.protofy.xyz/,-,-,-,-,-,-,NA,NA,NA,NA,https://zupimages.net/viewer.php?id=20/13/udhj.png,Respirateur,,,en,CG,NR,,OUI,
EMERGENCY VENTILATOR SYSTEMS ,-,SANTE,HOPITAL,DIY,RESPIRATEUR_VENTILATOR,GROUPE,ebcore,https://www.ebcore.io/?fbclid=IwAR13Fql14xM0Xty3w5cSyfWXLUfD-ML3ri8gdej-J8O8oY0X2Fq7uDSmx4o,-,-,-,-,-,-,NA,NA,NA,NA,https://zupimages.net/viewer.php?id=20/13/vrdd.png,Ventilator / vidéo d'explication : https://www.youtube.com/watch?v=vcuFVMVx930&feature=youtu.be&fbclid=IwAR2nwsROxwZNmnizLkoiEUNauFhFGBigEXsw7AGZajNFVEgvHYdOpXleTQk,,,en,CG,NR,,OUI,
OpenLung BVM Ventilator,-,SANTE,HOPITAL,DIY/GROUPE,RESPIRATEUR_VENTILATOR,GROUPE,,https://gitlab.com/open-source-ventilator/OpenLung?fbclid=IwAR1cMnUQW_t-wksl8RsbsHRplAWurPFVD63eZi71qJ65h7G1-F9p5HA-grU,-,-,-,-,-,-,NA,NA,NA,NA,https://gitlab.com/open-source-ventilator/OpenLung/-/raw/master/images/current_concept.png,Ventilator / vidéo d'explication : https://www.youtube.com/watch?v=vcuFVMVx930&feature=youtu.be&fbclid=IwAR2nwsROxwZNmnizLkoiEUNauFhFGBigEXsw7AGZajNFVEgvHYdOpXleTQk,,,en,CG,NR,,OUI,
InnspiraMED Open Source Mechanical Ventilators,-,SANTE,HOPITAL,DIY,RESPIRATEUR_VENTILATOR,ANONYME,,https://letsbeatcovid19.blogspot.com/,-,-,-,-,-,-,NA,NA,NA,NA,https://1.bp.blogspot.com/-bDmJhMmerMM/XnICXsRBd9I/AAAAAAAAJwU/0Xss_rUmZq055JhJpuidq5jS5FRYqYOXgCLcBGAsYHQ/s400/WhatsApp%2BImage%2B2020-03-17%2Bat%2B18.39.23.jpeg,,,,en,CG,NR,,OUI,
Visières pour les soignants,-,SANTE,PROTECTION,DIY,VISIERE,INSTITUTION,Centrale Supelec,http://lafabrique.centralesupelec.fr/visiere/,-,-,-,-,-,-,NA,NA,NA,NA,http://www.3d4care.com/img/06.jpg,Visières,,,fr,CG,UTILISE_DANS_STRUCT_MEDICALE_FR,Processus en cours le 25/03/2020,OUI,
Simply Flexible Mask Valvy,-,SANTE,PROTECTION,DIY,MASQUE_I3D,INDIVIDU,ANON,https://www.thingiverse.com/thing:4185367?fbclid=IwAR0r9Qd7JXxdsZBqOWiO45P9EO6G3LG5N-q8uoqiJa22LbZpd1gNrzwJ_6E,-,-,-,-,-,-,NA,NA,NA,NA,https://zupimages.net/viewer.php?id=20/13/05xl.png,,,,en,CG,NR,,OUI,
EVA Covid Coronavirus Face Mask,-,SANTE,PROTECTION,DIY,MASQUE_I3D,ANONYME,,https://www.thingiverse.com/thing:4223817?fbclid=IwAR2W7DFx-nmwaS_1QY3a6Ey0fz6boiVNsGeS7vJ3ZFg_0Lb_4zhG4hitGfc,-,-,-,-,-,-,NA,NA,NA,NA,https://zupimages.net/viewer.php?id=20/13/p7fl.png,,,,en,CG,NR,,OUI,
COVID-19 MASK (Easy-to-print  no support  filter required),-,SANTE,PROTECTION,DIY,MASQUE_I3D,ANONYME,,https://www.thingiverse.com/thing:4225667?fbclid=IwAR3D_VHzPU5ehzRom5Mwvy0KP0NgBiVQvrWcZcghbgjlkSRc78Jm6uh6MZk,-,-,-,-,-,-,NA,NA,NA,NA,https://zupimages.net/viewer.php?id=20/13/vhg6.png,Mask,,,en,CG,NR,sur le groupe : https://docs.google.com/spreadsheets/d/1e81ceSrVT6Bl4UaS1SxIUUUzgZAdkIstU7Hzot08Ld8/edit#gid=0,OUI,
COUVERTURE RÉUTILISABLE DU CADRE D'UN MASQUE FACIAL RESPIRATOIRE,Couverture extérieure du masque,SANTE,PROTECTION,DIY,MASQUE_I3D,ANONYME,,https://cults3d.com/fr/mod%C3%A8le-3d/outil/reusable-facial-mask-frame,-,-,-,-,-,-,NA,NA,NA,NA,https://files.cults3d.com/uploaders/13368970/illustration-file/1aebd72b-7b07-4082-9b9b-1d10c050334f/try_on_large.jpg,Mask,,,fr,CG,NR,,OUI,
MINI-MASQUE POUR CORONAVIRUS COVID-19 AVEC FIL,-,SANTE,PROTECTION,DIY,MASQUE_I3D,ANONYME,,https://cults3d.com/fr/mod%C3%A8le-3d/outil/mini-mascara-para-coronavirus-covid-19-con-rosca,-,-,-,-,-,-,NA,NA,NA,NA,https://zupimages.net/viewer.php?id=20/13/v6xy.png,Mask,,,fr,CG,NR,,OUI,
NanoHack,-,SANTE,PROTECTION,DIY,MASQUE_I3D,ENTREPRISE,Copper3D,https://copper3d.com/hackthepandemic/,-,-,-,-,-,-,NA,NA,NA,NA,https://copper3d.com/wp-content/uploads/2020/03/despiece-e1584500024307.png,Mask : Ils indiquent clairement qu'une v2 va bientôt dortir et recommandent de ne plus imprimer la V1. Je ne sais pas si elle sera sur la même page web,,,en,CG,NR,sur le groupe : https://docs.google.com/spreadsheets/d/1e81ceSrVT6Bl4UaS1SxIUUUzgZAdkIstU7Hzot08Ld8/edit#gid=0,OUI,
MASQUE DE PROTECTION COVID-19 FFP2 / PROTECTION MASK COVID-19 FFP2,"Il s'agit d'un modèle de valve inspiré du masque ""nanoHack""  permettant de créer un masque filtrant de catégorie FFP2 avec une pastille prélevée dans un masque ffp2 jetable",SANTE,PROTECTION,DIY,MASQUE_I3D,ANONYME,,https://cults3d.com/fr/mod%C3%A8le-3d/outil/masque-de-protection-covid-19-ffp2,-,-,-,-,-,-,NA,NA,NA,NA,https://files.cults3d.com/uploaders/14155070/illustration-file/a96ef7ab-be17-4b1e-b368-98780dc79a44/IMG_20200323_223432_large.jpg,mask FFP2,,,en/fr,CG,NR,,OUI,
Comment faire un nasobuco ou un masque à la maison,-,SANTE,PROTECTION,DIY,MASQUE_TISSU,INDIVIDU,,http://www.juventudrebelde.cu/suplementos/asi-de-facil/2020-03-10/como-hacer-un-nasobuco-o-mascarilla-en-casa,-,-,-,-,-,-,NA,NA,NA,NA,http://www.juventudrebelde.cu/thumbs/450x/crc/images/medias/2020/03/xjXVSQ_10-03-2020_17.03.13.000000.jpg,masque en tissus ,,,es/fr,CG,NON,,OUI,
Masques de protection simplifiés pour gouttelettes d’eau - Dossier IFTH 16 Mars 2020 ,-,SANTE,PROTECTION,DIY,MASQUE_TISSU,INSTITUTION,Institut français du textile et de l'habillement,https://www.csfmodeluxe-masques.com/uploads/1/2/9/1/129160673/masques_de_protection_simplifie%CC%81_1.pdf,-,-,-,-,-,-,NA,NA,NA,NA,https://zupimages.net/viewer.php?id=20/13/5t86.png,masques de trois niveaux,,,fr,CG,PARTIELLE,?,OUI,
facemask sewing pattern,-,SANTE,PROTECTION,DIY,MASQUE_TISSU,ANONYME,,https://freesewing.org/blog/facemask-frenzy/,-,-,-,-,-,-,NA,NA,NA,NA,https://freesewing.org/static/3c98e65ed28e9fc11a880c4a848a57a7/30417/diana.jpg,masque tissu ,,,en,CG,NR,sur le groupe : https://docs.google.com/spreadsheets/d/1e81ceSrVT6Bl4UaS1SxIUUUzgZAdkIstU7Hzot08Ld8/edit#gid=0,OUI,
Basic adult face mask,-,SANTE,PROTECTION,DIY,MASQUE_TISSU,INDIVIDU,,http://antisocialartshow.org/basic-adult-face-mask/?fbclid=IwAR2Z9sx8CwOibzHHCZruqX35PblgpB6eZlYvbQJVnkS6Dt0XDMTP3oRB4Dg,-,-,-,-,-,-,NA,NA,NA,NA,https://zupimages.net/viewer.php?id=20/13/kh5j.png,,,,en ,CG,NR,,OUI,
WHO-recommended Handrub Formulations,-,SANTE,HYGIENE,DIY,GEL,ANONYME,,https://www.who.int/gpsc/5may/Guide_to_Local_Production.pdf,-,-,-,-,-,-,NA,NA,NA,NA,https://zupimages.net/viewer.php?id=20/13/xma1.png,Gel Hydroalcoolique,,,fr,CG,NR,,OUI,
Gel desinfectant à base d'étanol (français et espagnol),-,SANTE,HYGIENE,DIY,GEL,ANONYME,,https://www.appropedia.org/Gel_desinfectante_a_base_de_etanol,-,-,-,-,-,-,NA,NA,NA,NA,https://zupimages.net/viewer.php?id=20/13/xkw6.png,Gel Hydroalcoolique,,,fr/es,CG,NR,,OUI,
Minimal Universal Respirator - Prototype de respirateur en France,-,SANTE,HOPITAL,DIY/INDUSTRIEL,RESPIRATEUR_VENTILATOR,GROUPE,,https://www.mur-project.org/,-,-,-,-,-,-,NA,NA,NA,NA,https://www.mur-project.org/medias/index.jpg,respirateur,,,fr/en,CG,NR,En cours le 25/03 validation prévue pour la fin de semaine (28 ou 29 Mars),OUI,
Homemade box UV C for sterilization,-,SANTE,HYGIENE,DIY,AUTRE,INDIVIDU,,https://www.youtube.com/watch?v=gYwhYv1uIUI,-,-,-,-,-,-,NA,NA,NA,NA,https://zupimages.net/viewer.php?id=20/13/fesy.png,Boite de stérilisation,,,en,CG,NR,,OUI,
DIY face mask,,SANTE,PROTECTION,DIY/PRO,MASQUE_TISSU,INDIVIDU,Taiwanese doctor,https://mustsharenews.com/cloth-face-mask/,-,-,-,-,-,-,NA,NA,NA,NA,https://mustsharenews.com/wp-content/uploads/2020/02/cloth-face-mask-18.jpg,Masque en tissu avec ouvereture,,,en,CG,NR,sur le groupe : https://docs.google.com/spreadsheets/d/1e81ceSrVT6Bl4UaS1SxIUUUzgZAdkIstU7Hzot08Ld8/edit#gid=0,OUI,
Face mask Fabric (Chinese pdf),,SANTE,PROTECTION,DIY,MASQUE_TISSU,ANONYME,,https://www.pref.oita.jp/uploaded/attachment/2070448.pdf,,,-,-,-,-,NA,NA,NA,NA,https://zupimages.net/viewer.php?id=20/13/sbqt.png,Masque en tissu avec ouvereture,,,en,CG,NR,sur le groupe : https://docs.google.com/spreadsheets/d/1e81ceSrVT6Bl4UaS1SxIUUUzgZAdkIstU7Hzot08Ld8/edit#gid=1,OUI,
DIY Cloth Face Mask,,SANTE,PROTECTION,DIY,MASQUE_TISSU,INDIVIDU,,https://www.instructables.com/id/DIY-Cloth-Face-Mask/,,,-,-,-,-,NA,NA,NA,NA,https://content.instructables.com/FQK/R1J1/K7RRAY95/FQKR1J1K7RRAY95.LARGE.jpg?auto=webp&frame=1&width=667&height=1024&fit=bounds,,,,en,CG,NR,sur le groupe : https://docs.google.com/spreadsheets/d/1e81ceSrVT6Bl4UaS1SxIUUUzgZAdkIstU7Hzot08Ld8/edit#gid=0,OUI,
