titre_initiative,resume_initiative,tag_besoin_niv1_code,tag_besoin_niv2_code,tag_produit_niv1_code,tag_produit_niv2_code,tag_structure_niv1_code,nom_structure,url_initiative,contact_mail,contact_tel,materiel_utilise,machine_utilisee,capacite_production,version,adresse,code_postal,ville,pays,url_illustration,commentaires,source,est_actif,langue,auteur_data,validation,notes_validation,a_publier,date_maj
"Visière Prusa - Remix -""#resistancecovid""",Prusa (Remix),SANTE,PROTECTION,DIY,VISIERE,GROUPE,,https://www.prusaprinters.org/prints/26427-prusa-protective-face-shield-rc1-rc2-remix-rc3-eas,,,,,,,NA,NA,NA,NA,https://pbs.twimg.com/media/ETzBaroXQAEBQ4Q?format=jpg&name=large,,https://docs.google.com/spreadsheets/d/1jpDEPTE5adj8FiwWpyOaMbNJOsyynJKzqXmpooCHnog/edit#gid=0,,en,TS,NR,,OUI,
Visière Prusa - RC03,Prusa,SANTE,PROTECTION,DIY,VISIERE,GROUPE,,https://www.prusaprinters.org/prints/26427-shield-face-protection-rc3-remix-of-rc2-without-an/files,,,,,,,NA,NA,NA,NA,https://media.prusaprinters.org/thumbs/cover/640x480/media/prints/26427/images/268758_f762baa6-9127-4357-956b-e46135786e27/shiel-protection-rc3-v5.jpg,,https://docs.google.com/spreadsheets/d/1jpDEPTE5adj8FiwWpyOaMbNJOsyynJKzqXmpooCHnog/edit#gid=0,,en,TS,NR,,OUI,
3D printed COVID-19 Face Shield Mask - Manual for makers (blackbelt),,SANTE,PROTECTION,DIY,VISIERE,GROUPE,,https://www.linkedin.com/pulse/3d-printed-covid-19-face-shield-mask-manual-makers-sch%C3%BCrmann/,,,,,,,NA,NA,NA,NA,https://media-exp1.licdn.com/dms/image/C4D12AQHpb8k0KpBaQA/article-inline_image-shrink_1500_2232/0?e=1590624000&v=beta&t=rX6HsR40zCdwPTXmPu_6sVUXUdHIStaICRO9j6N-iXU,,https://docs.google.com/spreadsheets/d/1jpDEPTE5adj8FiwWpyOaMbNJOsyynJKzqXmpooCHnog/edit#gid=0,,en,TS,NR,,OUI,
Visiere de protection,Visiere de protection -,SANTE,PROTECTION,DIY,VISIERE,GROUPE,,https://www.thingiverse.com/thing:4238117,,,,,,,NA,NA,NA,NA,https://zupimages.net/viewer.php?id=20/13/1mp2.png,,https://docs.google.com/spreadsheets/d/1jpDEPTE5adj8FiwWpyOaMbNJOsyynJKzqXmpooCHnog/edit#gid=0,,fr,TS,NR,,OUI,
[COVID-19] Medical Face Shield Frame and glasses (Laser cut w/ 2mins per piece  much faster than 3D printing),,SANTE,,DIY,VISIERE,INDIVIDU,,https://www.thingiverse.com/thing:4155735,,,,,,,NA,NA,NA,NA,,,,,en,TS,NR,,OUI,
Stratasys Face Shield,Visière de protection,SANTE,PROTECTION,DIY,VISIERE,GROUPE,,https://go.stratasys.com/lp-face-shield.html,,,PLA,,,,NA,NA,NA,NA,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_10.png?raw=true,Pas de matériau de support,https://docs.google.com/spreadsheets/d/1AuFOZjWxkcBIKoZVbi31pURp7h0B0VY9O9Rmct-_KU4/edit?usp=sharing,,en,TS,NR,,OUI,
"Specifications for a simple open source mechanical ventilator
",Respirateur,SANTE,,DIY,RESPIRATEUR_VENTILATOR,,,https://docs.google.com/document/d/1FNPwrQjB1qW1330s5-S_-VB0vDHajMWKieJRjINCNeE/preview,,,,,,,,,,,,,,,,,,,,
MUR project,Respirateur de fortune MUR,SANTE,HOPITAL,DIY,RESPIRATEUR_VENTILATOR,NR,,https://www.mur-project.org/,,,-,-,-,-,NA,NA,NA,FRANCE,https://www.mur-project.org/medias/bannerProject.jpg,-,,oui,fr,JPy,NR,,OUI,
Door Opener,Permet d'ouvrir tout type de porte sans contact avec les mains,SANTE,PROTECTION,DIY,-,GROUPE,,https://www.thingiverse.com/thing:4229393,,,,,,,,,,,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_10.png?raw=true,PLA  PETG  PA12,https://docs.google.com/spreadsheets/d/1AuFOZjWxkcBIKoZVbi31pURp7h0B0VY9O9Rmct-_KU4/edit?usp=sharing,,,,NR,épaisseur de coque 1 2mm ; remplissage 20%,OUI,28/03/2020
Mask X-Factor,permet de lutter efficacement en multipliant et optimisant l’utilisation des masques médicaux à filtres certifiés existants. Un seul masque peut alors devenir 5 à 10 nouveaux masques avec les mêmes capacités filtrantes. lavable en machine ou lave vaisselle.,SANTE,PROTECTION,DIY,MASQUE_I3D,ENTREPRISE,Fabulou Impression 3D,https://sketchfab.com/fabulous,,,http://fabulous.com.co/blog/3d-printed-x-factor-mask-covid-19-fabulous-tech-center-proposal/,,,,,,,,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_10.png?raw=true,TPU 70A en SLS,https://docs.google.com/spreadsheets/d/1AuFOZjWxkcBIKoZVbi31pURp7h0B0VY9O9Rmct-_KU4/edit?usp=sharing,,,,NR,TPU en grade médical avec contact cutané certifié,OUI,28/03/2020
"Respirateur
Open Source",Projet Open source (+300 contributeurs) pour la création d'un dispositif d'assistance respiratoire,SANTE,PROTECTION,DIY,RESPIRATEUR_VENTILATOR,GROUPE,,,,,"https://techcrunch.com/2020/03/19/open-source-project-spins-up-3d-printed-ventilator-validation-prototype-in-just-one-week/?guccounter=1

",,,,,,,,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_10.png?raw=true,,https://docs.google.com/spreadsheets/d/1AuFOZjWxkcBIKoZVbi31pURp7h0B0VY9O9Rmct-_KU4/edit?usp=sharing,,,,NR,,OUI,28/03/2020
3D printed valve for adapting existing design (Decathlon) to ventilator outlet,,SANTE,,DIY,MASQUE,NR,,https://www.isinnova.it/easy-covid19-eng/,,,,,,,,,,,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_10.png?raw=true,,https://docs.google.com/spreadsheets/d/1e81ceSrVT6Bl4UaS1SxIUUUzgZAdkIstU7Hzot08Ld8/edit#gid=46475755,,,,NR,,,
"Absolutely minimal 5-minute face shield mask

- quality: DIY
- easy to disinfect (eg. isopropyl alcohol)
- protects eyes
- soft
- protects face sides
- cheap
- easy to make
- easy breathing
- accommodates glasses
- no 3D printing  no tools except scissors",,SANTE,,DIY,MASQUE,NR,,"Bigger image: 
https://drive.google.com/file/d/1H-DY-kSeRG0nuzhS_YG8iCuNvne5G5Pv/view?usp=sharing

Can create a tutorial if needed.",,,"David Šmehlík
dvsmehlik@gmail.com
@David",,,,,,,,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_10.png?raw=true,,https://docs.google.com/spreadsheets/d/1e81ceSrVT6Bl4UaS1SxIUUUzgZAdkIstU7Hzot08Ld8/edit#gid=46475755,,,,NR,,,
"This adapter fits 2 types of widely available CPR masks: American Red Cross (Laerdal) CPR Pocket Mask  (0.59 exterior diameter) & Generic CPR mask with hard plastic nozzle  (0.875 interior diameter)  Our Y breather adapter is designed to connect to: 
Honeywell North N Series Filter  P100 filter  
(part # 7580P100  thread size 1.0625 0.375-16 UNS 2 A)
becoming a breathing device that will lower the risk of contracting diseases when used in the medical field.  (Slimline adapters  compatible with other filter attachments  forthcoming)",,SANTE,,DIY,MASQUE,NR,,https://www.thingiverse.com/thing:4241787,,,Angela Meraki   TheWorcShop@gmail.com   Angela Meraki,,,,,,,,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_10.png?raw=true,,https://docs.google.com/spreadsheets/d/1e81ceSrVT6Bl4UaS1SxIUUUzgZAdkIstU7Hzot08Ld8/edit#gid=46475755,,,,NR,,,
"- global protection
- made in collaboration with Pellegrin CHU (Bordeaux)",,SANTE,,DIY,MASQUE,NR,,https://drive.google.com/drive/folders/1iXL7_kgRxMOVB2Q1Rve6HhigsF9-32Aw?fbclid=IwAR06wlIB9uwzgeLhwVAba0Bzo1lHaJ4lzP6y_24c6IsJ_uH36fuvNSN-FsM,,,"D33D (Bastien Dupuy  Ludovic Delhomme)
Bastien très occupé  en support clementnico@hotmail.com 06 75 87 67 34",,,,,,,,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_10.png?raw=true,,https://docs.google.com/spreadsheets/d/1e81ceSrVT6Bl4UaS1SxIUUUzgZAdkIstU7Hzot08Ld8/edit#gid=46475755,,,,NR,,,
"- adjustable straps around neck
-includes nose strap
- reusable body
- number of replaceable inlet and outlet valve designs",,SANTE,,DIY,MASQUE,NR,,https://www.thingiverse.com/thing:4177128,,,Image and info added by Artur Donaldson (arthurdo@pm.me)  designed by iczfirz and made openly available on Thingiverse.com,,,,,,,,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_10.png?raw=true,,https://docs.google.com/spreadsheets/d/1e81ceSrVT6Bl4UaS1SxIUUUzgZAdkIstU7Hzot08Ld8/edit#gid=46475755,,,,NR,,,
features: • independent pleated pockets for filter material insertion • side cinching straps for customized fit close to face • removable nose bridge • no elastic required • flexible side strap options: ties at nape of neck or loops of elastic • easy cutting • breathable/comfortable,,SANTE,,DIY,MASQUE,NR,,http://www.antisocialartshow.org/masks,,,Kelly Cheatle  kellycheatle@gmail.com,,,,,,,,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_10.png?raw=true,,https://docs.google.com/spreadsheets/d/1e81ceSrVT6Bl4UaS1SxIUUUzgZAdkIstU7Hzot08Ld8/edit#gid=46475755,,,,NR,,,
"Design specs for a face mask for ""non-clinical use"" being circulated to factories and designers in Los Angeles by L.A. Protects  an intiative coordinated designer fashion brand Kaiser Permante
- Specs specifically state to avoid use of latex",,SANTE,,DIY,MASQUE,NR,,https://laprotects.org/,,,Added by Artur Donaldson  arthurdo@pm.me  design by L.A. Protects probably led by ,,,,,,,,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_10.png?raw=true,,https://docs.google.com/spreadsheets/d/1e81ceSrVT6Bl4UaS1SxIUUUzgZAdkIstU7Hzot08Ld8/edit#gid=46475755,,,,NR,,,
