titre_initiative,resume_initiative,tag_besoin_niv1_code,tag_besoin_niv2_code,tag_produit_niv1_code,tag_produit_niv2_code,tag_structure_niv1_code,nom_structure,url_initiative,contact_mail,contact_tel,materiel_utilise,machine_utilisee,capacite_production,version,adresse,code_postal,ville,pays,url_illustration,commentaires,source,est_actif,langue,auteur_data,validation,notes_validation,a_publier,date_maj
3D&G,,NUMERIQUE,PROTECTION,DIY,,ENTREPRISE,,https://www.3d-g.fr/,contact@3d-g.fr,,,,,,,,Caen,France,,,https://docs.google.com/spreadsheets/d/1AuFOZjWxkcBIKoZVbi31pURp7h0B0VY9O9Rmct-_KU4/edit?usp=sharing,,,JPy,,,NON,30/04/2020
W6 design,4 fdm + 1 formlabs + cnc 2500x1200 + 3d design ,NUMERIQUE,PROTECTION,DIY,,ENTREPRISE,,www.w6design.com,sergevi@w6developpement.com,0647908439,fdm / dlp,4 fdm + 1 formlabs + cnc 2500x1200 + 3d design ,,,,,Aurillac,France,,4 fdm + 1 formlabs + cnc 2500x1200 + 3d design ,https://docs.google.com/spreadsheets/d/1AuFOZjWxkcBIKoZVbi31pURp7h0B0VY9O9Rmct-_KU4/edit?usp=sharing,,,JPy,,,NON,30/04/2020
FORMES ET VOLUMES,2 SLA FORMLABS 2 et 3 ; 1 FDM Ultimaker 3Extended  centres d'usinage 3 et 5 axes non métalique,NUMERIQUE,PROTECTION,DIY,,ENTREPRISE,,http://www.formes-et-volumes.fr/,maxime.bories@formes-et-volumes.fr,0658727490,SLA et FDM,2 SLA FORMLABS 2 et 3 ; 1 FDM Ultimaker 3Extended  centres d'usinage 3 et 5 axes non métalique,,,,,LA ROCHELLE,France,,2 SLA FORMLABS 2 et 3 ; 1 FDM Ultimaker 3Extended  centres d'usinage 3 et 5 axes non métalique,https://docs.google.com/spreadsheets/d/1AuFOZjWxkcBIKoZVbi31pURp7h0B0VY9O9Rmct-_KU4/edit?usp=sharing,,,JPy,,,NON,30/04/2020
CESI Ecole d'Ingénieurs,"3 x Ultimaker 2+
1 x découpe laser Epilog Zing 40W",NUMERIQUE,PROTECTION,DIY,,ENTREPRISE,,https://ecole-ingenieurs.cesi.fr/,jniget@cesi.fr,0788483883,FDM,"3 x Ultimaker 2+
1 x découpe laser Epilog Zing 40W",,,,,La Rochelle,France,,"3 x Ultimaker 2+
1 x découpe laser Epilog Zing 40W",https://docs.google.com/spreadsheets/d/1AuFOZjWxkcBIKoZVbi31pURp7h0B0VY9O9Rmct-_KU4/edit?usp=sharing,,,JPy,,,NON,30/04/2020
,,NUMERIQUE,PROTECTION,DIY,,ENTREPRISE,,https://nove-3d.com/impression-3d/,,,,,,,,,La Rochelle,France,,,https://docs.google.com/spreadsheets/d/1AuFOZjWxkcBIKoZVbi31pURp7h0B0VY9O9Rmct-_KU4/edit?usp=sharing,,,JPy,,,NON,30/04/2020
INSA Centre Val de Loire (campus Bourges),1 Ultimaker 3 extended,NUMERIQUE,PROTECTION,DIY,,ENTREPRISE,,http://www.insa-centrevaldeloire.fr/fr/,quentin.serra@insa-cvl.fr,,FDM,1 Ultimaker 3 extended,,,,,Bourges,France,,1 Ultimaker 3 extended,https://docs.google.com/spreadsheets/d/1AuFOZjWxkcBIKoZVbi31pURp7h0B0VY9O9Rmct-_KU4/edit?usp=sharing,,,JPy,,,NON,30/04/2020
DESESSART NICOLAS,"Scan 3D lumière structurée 30 à 400 mm
Impression 3D FDM (235x300x160mm)
Impression 3D DLP résine (190x120x400mm)
Gravure et découpe laser matériaux fins
fraisage CNC matériaux non métalliques",NUMERIQUE,PROTECTION,DIY,,ENTREPRISE,,http://kavalcad.com,contact@kavalcad.com,,FDM et SLA (DLP),"Scan 3D lumière structurée 30 à 400 mm
Impression 3D FDM (235x300x160mm)
Impression 3D DLP résine (190x120x400mm)
Gravure et découpe laser matériaux fins
fraisage CNC matériaux non métalliques",,,,,Senneçay,France,,"Scan 3D lumière structurée 30 à 400 mm
Impression 3D FDM (235x300x160mm)
Impression 3D DLP résine (190x120x400mm)
Gravure et découpe laser matériaux fins
fraisage CNC matériaux non métalliques",https://docs.google.com/spreadsheets/d/1AuFOZjWxkcBIKoZVbi31pURp7h0B0VY9O9Rmct-_KU4/edit?usp=sharing,,,JPy,,,NON,30/04/2020
Makers contre le COVID19 - Corrèze,parc de machines chez particuliers,NUMERIQUE,PROTECTION,DIY,,ENTREPRISE,,https://www.facebook.com/groups/225809612116792/,https://www.facebook.com/groups/225809612116792/,https://www.facebook.com/groups/225809612116792/,FDM,parc de machines chez particuliers,,,,,Brive,France,,parc de machines chez particuliers,https://docs.google.com/spreadsheets/d/1AuFOZjWxkcBIKoZVbi31pURp7h0B0VY9O9Rmct-_KU4/edit?usp=sharing,,,JPy,,,NON,30/04/2020
Visière solidaire 19,parc de machines chez particuliers,NUMERIQUE,PROTECTION,DIY,,ENTREPRISE,,https://www.facebook.com/groups/213658856568469/,https://www.facebook.com/groups/213658856568469/,https://www.facebook.com/groups/213658856568469/,FDM,parc de machines chez particuliers,,,,,Tulle,France,,parc de machines chez particuliers,https://docs.google.com/spreadsheets/d/1AuFOZjWxkcBIKoZVbi31pURp7h0B0VY9O9Rmct-_KU4/edit?usp=sharing,,,JPy,,,NON,30/04/2020
La Fabrique 3D ,6 FDM ( Raise Volumic Zortax)  2 DLP (Phrozen Zortrax),NUMERIQUE,PROTECTION,DIY,,ENTREPRISE,,https://lafabrique3d.fr,contact@lafabrique3d.fr ,0668559858,FDM. DLP,6 FDM ( Raise Volumic Zortax)  2 DLP (Phrozen Zortrax),,,,,Romainville ,France,,6 FDM ( Raise Volumic Zortax)  2 DLP (Phrozen Zortrax),https://docs.google.com/spreadsheets/d/1AuFOZjWxkcBIKoZVbi31pURp7h0B0VY9O9Rmct-_KU4/edit?usp=sharing,,,JPy,,,NON,30/04/2020
CETIM Centre Val de Loire,Raise 2 pro,NUMERIQUE,PROTECTION,DIY,,ENTREPRISE,,https://www.cetim-certec.com/,matthieu.durand@cetimcentrevaldeloire.fr,+33634190565,FDM,Raise 2 pro,,,,,Bourges,France,,Raise 2 pro,https://docs.google.com/spreadsheets/d/1AuFOZjWxkcBIKoZVbi31pURp7h0B0VY9O9Rmct-_KU4/edit?usp=sharing,,,JPy,,,NON,30/04/2020
CETIM Centre Val de Loire,SLM 280,NUMERIQUE,PROTECTION,DIY,,ENTREPRISE,,https://www.cetim-certec.com/,matthieu.durand@cetimcentrevaldeloire.fr,+33634190565,SLM,SLM 280,,,,,Bourges,France,,SLM 280,https://docs.google.com/spreadsheets/d/1AuFOZjWxkcBIKoZVbi31pURp7h0B0VY9O9Rmct-_KU4/edit?usp=sharing,,,JPy,,,NON,30/04/2020
JPB Aménagements,1 BigRep One,NUMERIQUE,,DIY,,ENTREPRISE,,https://www.jpb-amenagements.com,alexandre.bruneau@jpb-amenagements.com,0607269241,FDM,1 BigRep One,,,,,Orval,France,,1 BigRep One,https://docs.google.com/spreadsheets/d/1AuFOZjWxkcBIKoZVbi31pURp7h0B0VY9O9Rmct-_KU4/edit?usp=sharing,,,JPy,,,NON,30/04/2020
DIJON 3D,Volumic Stream 30 Ultra  eMotion Tech Strateo3D...,NUMERIQUE,,DIY,,ENTREPRISE,,www.dijon3d.com,s.collignon@dijon3d.com,0626631165,FDM,Volumic Stream 30 Ultra  eMotion Tech Strateo3D...,,,,,Marsannay-La-Côte,France,,Volumic Stream 30 Ultra  eMotion Tech Strateo3D...,https://docs.google.com/spreadsheets/d/1AuFOZjWxkcBIKoZVbi31pURp7h0B0VY9O9Rmct-_KU4/edit?usp=sharing,,,JPy,,,NON,30/04/2020
Concept C3d,,NUMERIQUE,,DIY,,ENTREPRISE,,www.conceptc3d.com,alecorre@conceptc3d.com,0633331199,FDM,,,,,,Rostrenen,France,,,https://docs.google.com/spreadsheets/d/1AuFOZjWxkcBIKoZVbi31pURp7h0B0VY9O9Rmct-_KU4/edit?usp=sharing,,,JPy,,,NON,30/04/2020
Nanovia,Producteur de filament FDM,NUMERIQUE,,DIY,,ENTREPRISE,,http://www.nanovia-technologies.com/,erwan.leneveu@nanovia.pro,0296433690,FDM,Producteur de filament FDM,,,,,Louargat,France,,Producteur de filament FDM,https://docs.google.com/spreadsheets/d/1AuFOZjWxkcBIKoZVbi31pURp7h0B0VY9O9Rmct-_KU4/edit?usp=sharing,,,JPy,,,NON,30/04/2020
Saint-Brieuc Factory,Fablab avec 3 FDM et 1 SLA Formlabs,NUMERIQUE,,DIY,,ENTREPRISE,,http://www.saint-brieuc-factory.fr/,factory@sbaa.fr,0296425410,FDM et SLA,Fablab avec 3 FDM et 1 SLA Formlabs,,,,,Saint-Brieuc,France,,Fablab avec 3 FDM et 1 SLA Formlabs,https://docs.google.com/spreadsheets/d/1AuFOZjWxkcBIKoZVbi31pURp7h0B0VY9O9Rmct-_KU4/edit?usp=sharing,,,JPy,,,NON,30/04/2020
Makers contre le COVID 87&23,parc de machines chez des particuliers,NUMERIQUE,,DIY,,ENTREPRISE,,https://www.facebook.com/groups/2766163170157668/,https://www.facebook.com/groups/2766163170157668/,https://www.facebook.com/groups/2766163170157668/,FDM,parc de machines chez des particuliers,,,,,Limoges,France,,parc de machines chez des particuliers,https://docs.google.com/spreadsheets/d/1AuFOZjWxkcBIKoZVbi31pURp7h0B0VY9O9Rmct-_KU4/edit?usp=sharing,,,JPy,,,NON,30/04/2020
Precistem,Conception CAO  Usinage de precision  (Tournage 4 axes  fraisage 5 axes),NUMERIQUE,,DIY,,ENTREPRISE,,precistem.com,armand.thibaut@precistem.com,0669243767,,Conception CAO  Usinage de precision  (Tournage 4 axes  fraisage 5 axes),,,,,Besançon,France,,Conception CAO  Usinage de precision  (Tournage 4 axes  fraisage 5 axes),https://docs.google.com/spreadsheets/d/1AuFOZjWxkcBIKoZVbi31pURp7h0B0VY9O9Rmct-_KU4/edit?usp=sharing,,,JPy,,,NON,30/04/2020
FGS impression 3D,Impression 3D par: 2 Raise N2plus /4 ultimaker 2 extended /1Cr10S /1CR10s5 / 9 Ender 5 /4 Elegoo Mars,NUMERIQUE,,DIY,,ENTREPRISE,,,fgs24280@gmail.com,0640523279,FDM / SLA,Impression 3D par: 2 Raise N2plus /4 ultimaker 2 extended /1Cr10S /1CR10s5 / 9 Ender 5 /4 Elegoo Mars,,,,,Périgueux,France,,Impression 3D par: 2 Raise N2plus /4 ultimaker 2 extended /1Cr10S /1CR10s5 / 9 Ender 5 /4 Elegoo Mars,https://docs.google.com/spreadsheets/d/1AuFOZjWxkcBIKoZVbi31pURp7h0B0VY9O9Rmct-_KU4/edit?usp=sharing,,,JPy,,,NON,30/04/2020
SCALIA,1 x Stratasys Objet 260 Connex 3,NUMERIQUE,,DIY,,ENTREPRISE,,https://www.scalia-prototype.com,j.lamboley@scalia-prototype.fr,677502112,Polyjet,1 x Stratasys Objet 260 Connex 3,,,,,Besançon,France,,1 x Stratasys Objet 260 Connex 3,https://docs.google.com/spreadsheets/d/1AuFOZjWxkcBIKoZVbi31pURp7h0B0VY9O9Rmct-_KU4/edit?usp=sharing,,,JPy,,,NON,30/04/2020
8 Fablab Drôme,"1 Méga3D (1250x950x1500) 
1 3ntrA4v3 (300x220x190) 
1 Base Prusa (190x190x190)  Machins machines  simple buse 
1 Base Prusa (190x190x190)  Machins machines  double buse 
1 Witbox (297x210x200) 
1 UP Plus 2 (140x140x135) 
1 Arduino (140x115) 
1 Formlabs 2 (145X145X175) Imprimante SLA 
1 Imprimante céramique (Ø550 x 850) ",NUMERIQUE,,DIY,,ENTREPRISE,,www.8fablab.fr,contact@8fablab.fr,0475551478/ 0662165853,"FDM
SLA
Céramique","1 Méga3D (1250x950x1500) 
1 3ntrA4v3 (300x220x190) 
1 Base Prusa (190x190x190)  Machins machines  simple buse 
1 Base Prusa (190x190x190)  Machins machines  double buse 
1 Witbox (297x210x200) 
1 UP Plus 2 (140x140x135) 
1 Arduino (140x115) 
1 Formlabs 2 (145X145X175) Imprimante SLA 
1 Imprimante céramique (Ø550 x 850) ",,,,,Crest ,France,,"1 Méga3D (1250x950x1500) 
1 3ntrA4v3 (300x220x190) 
1 Base Prusa (190x190x190)  Machins machines  simple buse 
1 Base Prusa (190x190x190)  Machins machines  double buse 
1 Witbox (297x210x200) 
1 UP Plus 2 (140x140x135) 
1 Arduino (140x115) 
1 Formlabs 2 (145X145X175) Imprimante SLA 
1 Imprimante céramique (Ø550 x 850) ",https://docs.google.com/spreadsheets/d/1AuFOZjWxkcBIKoZVbi31pURp7h0B0VY9O9Rmct-_KU4/edit?usp=sharing,,,JPy,,,NON,30/04/2020
Ermoval,"1 RAISE 3D N2
1 MAKFORGED",NUMERIQUE,,DIY,,ENTREPRISE,,www.ermoval.com,sebastien.cazenave@ermoval.com,0613611076,FDM,"1 RAISE 3D N2
1 MAKFORGED",,,,,Valence,France,,"1 RAISE 3D N2
1 MAKFORGED",https://docs.google.com/spreadsheets/d/1AuFOZjWxkcBIKoZVbi31pURp7h0B0VY9O9Rmct-_KU4/edit?usp=sharing,,,JPy,,,NON,30/04/2020
Fram3D SAS,Raise 3D x11 N1/N2/N2+/Pro2 + 1 Formlabs Form2,NUMERIQUE,,DIY,,ENTREPRISE,,www.fram3d.fr,contact@fram3d.fr,0685391814,FDM / SLA,Raise 3D x11 N1/N2/N2+/Pro2 + 1 Formlabs Form2,,,,,Montélimar,France,,Raise 3D x11 N1/N2/N2+/Pro2 + 1 Formlabs Form2,https://docs.google.com/spreadsheets/d/1AuFOZjWxkcBIKoZVbi31pURp7h0B0VY9O9Rmct-_KU4/edit?usp=sharing,,,JPy,,,NON,30/04/2020
DEDIENNE MULTIPLASTURGY GROUP,"2 stations de production en séries :
HP 4200 (PA11) et EOS P 810 (PEKK)",NUMERIQUE,,DIY,,ENTREPRISE,,www.dedienne.com,f.larrouy@dedienne.com,0634112684,MJF  SLS,"2 stations de production en séries :
HP 4200 (PA11) et EOS P 810 (PEKK)",,,,,Saint-Aubin-sur-Gaillon,France,,"2 stations de production en séries :
HP 4200 (PA11) et EOS P 810 (PEKK)",https://docs.google.com/spreadsheets/d/1AuFOZjWxkcBIKoZVbi31pURp7h0B0VY9O9Rmct-_KU4/edit?usp=sharing,,,JPy,,,NON,30/04/2020
Isodesign,3 machines,NUMERIQUE,,DIY,,ENTREPRISE,,http://www.isodesign.fr/,isodesign@orange.fr,0671292452,FDM / DLP,3 machines,,,,,Condé sur iton,France,,3 machines,https://docs.google.com/spreadsheets/d/1AuFOZjWxkcBIKoZVbi31pURp7h0B0VY9O9Rmct-_KU4/edit?usp=sharing,,,JPy,,,NON,30/04/2020
BRST-3D,1xRaise N2 / 1xRaise N2+ / 1 Raise Pro2 / 2xForm2,NUMERIQUE,,DIY,,ENTREPRISE,,www.brst-3d.fr,brst3d@gmail.com,0683728961,FDM/SLA,1xRaise N2 / 1xRaise N2+ / 1 Raise Pro2 / 2xForm2,,,,,Brest,France,,1xRaise N2 / 1xRaise N2+ / 1 Raise Pro2 / 2xForm2,https://docs.google.com/spreadsheets/d/1AuFOZjWxkcBIKoZVbi31pURp7h0B0VY9O9Rmct-_KU4/edit?usp=sharing,,,JPy,,,NON,30/04/2020
DGA TA Lab,"1 FDM Stratasys Fortus 250mc ABS
1 FDM Creality cr10S pro",NUMERIQUE,,DIY,,ENTREPRISE,,DGA,bruet.fred@gmail.com,0620554471,FDM,"1 FDM Stratasys Fortus 250mc ABS
1 FDM Creality cr10S pro",,,,,Toulouse,France,,"1 FDM Stratasys Fortus 250mc ABS
1 FDM Creality cr10S pro",https://docs.google.com/spreadsheets/d/1AuFOZjWxkcBIKoZVbi31pURp7h0B0VY9O9Rmct-_KU4/edit?usp=sharing,,,JPy,,,NON,30/04/2020
eMotion Tech,Strateo3D 6 machines 600*420*500,NUMERIQUE,,DIY,,ENTREPRISE,,www.emotion-tech.com,guilhem.peres@emotion-tech.com,0582952662,FDM,Strateo3D 6 machines 600*420*500,,,,,Toulouse,France,,Strateo3D 6 machines 600*420*500,https://docs.google.com/spreadsheets/d/1AuFOZjWxkcBIKoZVbi31pURp7h0B0VY9O9Rmct-_KU4/edit?usp=sharing,,,JPy,,,NON,30/04/2020
Fablab Thales Alenia space ,1 ultimaker 3 extended + 1 prusa I3 MKS ,NUMERIQUE,,DIY,,ENTREPRISE,,https://www.thalesgroup.com/en,lisa.sinardet@thalesaleniaspace.com,0626981951,FDM,1 ultimaker 3 extended + 1 prusa I3 MKS ,,,,,Toulouse ,France,,1 ultimaker 3 extended + 1 prusa I3 MKS ,https://docs.google.com/spreadsheets/d/1AuFOZjWxkcBIKoZVbi31pURp7h0B0VY9O9Rmct-_KU4/edit?usp=sharing,,,JPy,,,NON,30/04/2020
KALLISTO,1 imprimante 3d Projet 3500  1 Nextdent 5100  1 ultimaker S5,NUMERIQUE,,DIY,,ENTREPRISE,,https://www.kallisto.net,pascal.erschler@kallisto.pro,0698748989,SLA  MJP  FDM,1 imprimante 3d Projet 3500  1 Nextdent 5100  1 ultimaker S5,,,,,Toulouse ,France,,1 imprimante 3d Projet 3500  1 Nextdent 5100  1 ultimaker S5,https://docs.google.com/spreadsheets/d/1AuFOZjWxkcBIKoZVbi31pURp7h0B0VY9O9Rmct-_KU4/edit?usp=sharing,,,JPy,,,NON,30/04/2020
MULTIFAB,Fabrication par Stéréolithographie SLA  DWS29J+  Formlabs 3  Xurographie,NUMERIQUE,,DIY,,ENTREPRISE,,https://www.laas.fr/projects/MultiFAB/,laurent.malaquin@laas.fr,0617304381,SLA,Fabrication par Stéréolithographie SLA  DWS29J+  Formlabs 3  Xurographie,,,,,Toulouse,France,,Fabrication par Stéréolithographie SLA  DWS29J+  Formlabs 3  Xurographie,https://docs.google.com/spreadsheets/d/1AuFOZjWxkcBIKoZVbi31pURp7h0B0VY9O9Rmct-_KU4/edit?usp=sharing,,,JPy,,,NON,30/04/2020
3dprint-services,2photonS - 1hypercube 300x300 - 1 flashforge creator pro - 1 bcn3d SigmaX - 1 prusai3 - 1 raise 3D pro2,NUMERIQUE,,DIY,,ENTREPRISE,,Www.3dprint-services.fr-,Contact@3dprint-services.fr,0781936807,FDM - SLA,2photonS - 1hypercube 300x300 - 1 flashforge creator pro - 1 bcn3d SigmaX - 1 prusai3 - 1 raise 3D pro2,,,,,Bordeaux,France,,2photonS - 1hypercube 300x300 - 1 flashforge creator pro - 1 bcn3d SigmaX - 1 prusai3 - 1 raise 3D pro2,https://docs.google.com/spreadsheets/d/1AuFOZjWxkcBIKoZVbi31pURp7h0B0VY9O9Rmct-_KU4/edit?usp=sharing,,,JPy,,,NON,30/04/2020
buddys-workshop,x2 hictop D3 Hero _ x3 ender3pro _ x1 dagoma neva,NUMERIQUE,,DIY,,ENTREPRISE,,www.buddys-workshop.com,contact@buddys-workshop.com ,0625794454,FDM,x2 hictop D3 Hero _ x3 ender3pro _ x1 dagoma neva,,,,,Bordeaux ,France,,x2 hictop D3 Hero _ x3 ender3pro _ x1 dagoma neva,https://docs.google.com/spreadsheets/d/1AuFOZjWxkcBIKoZVbi31pURp7h0B0VY9O9Rmct-_KU4/edit?usp=sharing,,,JPy,,,NON,30/04/2020
Institut d'Optique d'Aquitaine,Conception mécanique et modélisation 3D. Ultimaker 2 extended  ultimaker 3 extended  zortrax inkspire,NUMERIQUE,,DIY,,ENTREPRISE,,https://www.institutoptique.fr/letablissement/campus-national/linstitut-doptique-bordeaux,jordan.swietlicki@institutoptique.fr,0631588132,FDM  DLP,Conception mécanique et modélisation 3D. Ultimaker 2 extended  ultimaker 3 extended  zortrax inkspire,,,,,Bordeaux,France,,Conception mécanique et modélisation 3D. Ultimaker 2 extended  ultimaker 3 extended  zortrax inkspire,https://docs.google.com/spreadsheets/d/1AuFOZjWxkcBIKoZVbi31pURp7h0B0VY9O9Rmct-_KU4/edit?usp=sharing,,,JPy,,,NON,30/04/2020
3dkoupe,Machines FDM avec habitude d'imprimer en série et en continu - PLA Alimentaire (ROHS) et buses en acier,NUMERIQUE,,DIY,,ENTREPRISE,,,3dkoupe@gmail.com,+33761397848,FDM,Machines FDM avec habitude d'imprimer en série et en continu - PLA Alimentaire (ROHS) et buses en acier,,,,,Bordeaux ,France,,Machines FDM avec habitude d'imprimer en série et en continu - PLA Alimentaire (ROHS) et buses en acier,https://docs.google.com/spreadsheets/d/1AuFOZjWxkcBIKoZVbi31pURp7h0B0VY9O9Rmct-_KU4/edit?usp=sharing,,,JPy,,,NON,30/04/2020
ULY3D,"3 Prusa MK3 
1 Formlabs ",NUMERIQUE,,DIY,,ENTREPRISE,,www.uly3d.fr,l.bouyssou@uly3d.fr,0786327281,FDM  SLA,"3 Prusa MK3 
1 Formlabs ",,,,,Léognan,France,,"3 Prusa MK3 
1 Formlabs ",https://docs.google.com/spreadsheets/d/1AuFOZjWxkcBIKoZVbi31pURp7h0B0VY9O9Rmct-_KU4/edit?usp=sharing,,,JPy,,,NON,30/04/2020
MAV Solutions,Ultimaker 2,NUMERIQUE,,DIY,,ENTREPRISE,,,gcorde@mavsolutions.fr,0650534864,FDM,Ultimaker 2,,,,,Lège Cap Ferret,France,,Ultimaker 2,https://docs.google.com/spreadsheets/d/1AuFOZjWxkcBIKoZVbi31pURp7h0B0VY9O9Rmct-_KU4/edit?usp=sharing,,,JPy,,,NON,30/04/2020
